"abss","year","guaranteed_income","rental_assistance","children_risk","enh_cooperation","income_lag"
"BAIX LLOBREGAT (SENSE
15 DELS 30 MUNICIPIS)",2020,0.3,1,39.9,0,19.87389706
"BAIX PENEDÈS (SENSE CALAFELL
I EL VENDRELL)",2013,1.1,0.8,109,0.461422467956773,12.90971647
"BAIX PENEDÈS (SENSE CALAFELL
I EL VENDRELL)",2014,1.2,0.7,119.9,1,12.71254084
"BAIX PENEDÈS (SENSE CALAFELL
I EL VENDRELL)",2016,1.5,1.8,104.7,1,13.20759202
"BAIX PENEDÈS (SENSE CALAFELL
I EL VENDRELL)",2018,1.4,2.7,98.3,0.834421782377173,13.41128377
"BAIX PENEDÈS (SENSE CALAFELL
I EL VENDRELL)",2020,2,2.4,109.6,0.836524898993521,14.63417142
"BERGUEDÀ",2013,1,0.6,35.5,0.34971098265896,15.655
"BERGUEDÀ",2014,1.2,0.5,39.2,0.199261992619926,15.505
"BERGUEDÀ",2016,1.3,1.9,28,0.287955787066446,15.935
"BERGUEDÀ",2018,1.1,2.3,55.1,0.189587507204215,16.631
"BERGUEDÀ",2020,1.4,2.4,34.6,0.224356860158311,17.435
"CERDANYA",2013,0.6,0.7,44.8,1,13.133
"CERDANYA",2014,0.6,0.8,25.4,1,13.377
"CERDANYA",2016,0.5,2,49.4,1,13.211
"CERDANYA",2018,0.4,3.1,120.2,1,14.528
"CERDANYA",2020,0.4,2.5,31,1,16.055
"CONCA DE BARBERÀ",2013,0.4,0.4,69.7,1,14.031
"CONCA DE BARBERÀ",2014,0.4,0.4,79,1,14.118
"CONCA DE BARBERÀ",2016,0.3,2.3,113.9,1,14.248
"CONCA DE BARBERÀ",2018,0.4,3,89.3,0.994892108829355,15.46
"CONCA DE BARBERÀ",2020,0.5,2.8,98.6,0.995382274229942,16.418
"GARRAF (SENSE SANT PERE
DE RIBES, SITGES I VILANOVA
I LA GELTRÚ)",2013,0.5,0.3,33.5,0.646723646723647,15.64269079
"GARRAF (SENSE SANT PERE
DE RIBES, SITGES I VILANOVA
I LA GELTRÚ)",2014,0.8,0.3,23.2,0.839135279696902,15.40273326
"GARRAF (SENSE SANT PERE
DE RIBES, SITGES I VILANOVA
I LA GELTRÚ)",2016,1,1.3,91.7,0.841967764789231,16.7174924
"GARRAF (SENSE SANT PERE
DE RIBES, SITGES I VILANOVA
I LA GELTRÚ)",2018,0.9,1.7,51.3,0.839281096457202,17.05857281
"GARRAF (SENSE SANT PERE
DE RIBES, SITGES I VILANOVA
I LA GELTRÚ)",2020,1.5,1.4,28.3,1,18.00664564
"GARRIGUES",2013,0.6,0.3,30.1,0.845238095238095,12.802
"GARRIGUES",2014,0.7,0.3,118.8,1,13.091
"GARRIGUES",2016,0.7,0.8,79.6,1,13.224
"GARRIGUES",2018,0.9,1.2,82,1,13.586
"GARRIGUES",2020,1.2,1.3,50.7,1,14.368
"GARROTXA (SENSE OLOT)",2013,0.6,0.1,2.6,1,15.096
"GARROTXA (SENSE OLOT)",2014,0.6,0.1,5.1,1,15.043
"GARROTXA (SENSE OLOT)",2016,0.5,0.8,2.5,0.880917553191489,15.634
"GARROTXA (SENSE OLOT)",2018,0.4,1.2,12.4,0.919012970578931,16.708
"GARROTXA (SENSE OLOT)",2020,0.5,0.9,12.2,0.956948973296907,17.878
"GIRONÈS (SENSE GIRONA
I SALT)",2013,0.8,0.5,40.2,0.910856809650497,15.27229386
"GIRONÈS (SENSE GIRONA
I SALT)",2014,0.9,0.4,33.4,1,15.28763076
"GIRONÈS (SENSE GIRONA
I SALT)",2016,0.8,1.3,48.5,0.689791750471888,16.21200379
"GIRONÈS (SENSE GIRONA
I SALT)",2018,0.8,1.7,35.5,0.824274809160305,16.75557957
"GIRONÈS (SENSE GIRONA
I SALT)",2020,0.8,1.3,22.2,0.830998262902414,17.58048572
"MOIANÈS",2016,0.5,1.9,77.9,0.245441149382943,15.447
"MOIANÈS",2018,0.6,2.2,23.6,0.330129745314753,16.247
"MOIANÈS",2020,0.7,2.3,32.1,0.332453006058723,17.55
"MONTSIÀ (SENSE AMPOSTA)",2013,0.2,0.8,39.8,0.887258754693913,10.93874169
"MONTSIÀ (SENSE AMPOSTA)",2014,0.3,0.7,73.4,1,10.8040187
"MONTSIÀ (SENSE AMPOSTA)",2016,0.6,2,115.1,1,11.41299504
"MONTSIÀ (SENSE AMPOSTA)",2018,0.7,2.9,114.3,1,12.11683966
"MONTSIÀ (SENSE AMPOSTA)",2020,1.2,2.3,100.2,1,13.32228361
"NOGUERA",2013,0.9,0.7,38.4,1,12.56
"NOGUERA",2014,1.2,0.7,48.9,1,12.785
"NOGUERA",2016,1.5,2,62.4,0.533919810522754,13.112
"NOGUERA",2018,1.7,2.4,54.9,0.560929189696527,13.446
"NOGUERA",2020,2,2.7,39.9,0.553511192885618,14.408
"OSONA (SENSE MANLLEU,
VIC I 11 DELS 12 MUNICIPIS
DE LA MANCOMUNITAT DE
LA PLANA)",2013,0.8,0.7,16.9,0.35931700074239,15.48499932
"OSONA (SENSE MANLLEU,
VIC I 11 DELS 12 MUNICIPIS
DE LA MANCOMUNITAT DE
LA PLANA)",2014,0.9,0.7,28,0.353209445060097,15.3345186
"OSONA (SENSE MANLLEU,
VIC I 11 DELS 12 MUNICIPIS
DE LA MANCOMUNITAT DE
LA PLANA)",2016,0.8,1.9,28.3,0.379723220948375,16.16248617
"OSONA (SENSE MANLLEU,
VIC I 11 DELS 12 MUNICIPIS
DE LA MANCOMUNITAT DE
LA PLANA)",2018,0.7,2.4,34.1,0.40329696969697,17.12816153
"OSONA (SENSE MANLLEU,
VIC I 11 DELS 12 MUNICIPIS
DE LA MANCOMUNITAT DE
LA PLANA)",2020,0.7,2.2,17.7,0.518704713832126,18.30333359
"PALLARS JUSSÀ",2013,0.2,0.9,69,1,13.664
"PALLARS JUSSÀ",2014,0.3,0.7,107,1,14.059
"PALLARS JUSSÀ",2016,0.5,2.2,101.8,1,13.784
"PALLARS JUSSÀ",2018,0.6,3.2,145.8,1,14.291
"PALLARS JUSSÀ",2020,0.7,3.4,110.7,1,15.16
"PALLARS SOBIRÀ",2013,0.1,1.2,52.8,1,13.491
"PALLARS SOBIRÀ",2014,0.2,1.3,116.5,1,13.503
"PALLARS SOBIRÀ",2016,0.2,3.2,73.3,1,13.635
"PALLARS SOBIRÀ",2018,0.2,4.6,74.9,1,14.663
"PALLARS SOBIRÀ",2020,0.4,5.1,9.5,1,15.557
"PLA D'URGELL",2013,0.8,0.7,25.5,0.598405326317485,13.057
"PLA D'URGELL",2014,0.9,0.7,56.2,0.547289120174271,13.173
"PLA D'URGELL",2016,1,2,66.7,0.170788561032463,13.546
"PLA D'URGELL",2018,1.1,2.5,66.9,0.5584182144997,14.034
"PLA D'URGELL",2020,1.3,2,46.2,0.561078651685393,15.064
"PLA DE L'ESTANY",2013,0.7,0.3,21.2,1,14.75
"PLA DE L'ESTANY",2014,0.9,0.3,10.6,1,14.724
"PLA DE L'ESTANY",2016,0.8,2,55.8,1,15.367
"PLA DE L'ESTANY",2018,0.5,2.8,25.3,1,16.265
"PLA DE L'ESTANY",2020,0.4,2.4,15,1,17.208
"PRIORAT",2013,0.1,0.6,150.1,1,12.749
"PRIORAT",2016,0.2,1.9,79.9,0.360559566787004,13.296
"PRIORAT",2018,0.4,3,150.3,0.681167651067697,13.984
"PRIORAT",2020,0.5,2.9,124,0.684907834101382,14.963
"RIBERA D'EBRE",2013,0.2,0.5,64.6,1,13.869
"RIBERA D'EBRE",2014,0.4,0.5,82.7,1,14.063
"RIBERA D'EBRE",2016,0.5,1.4,320.6,1,14.256
"RIBERA D'EBRE",2018,0.8,1.8,245.5,1,14.633
"RIBERA D'EBRE",2020,1.1,1.7,164.5,1,15.149
"RIPOLLÈS",2013,1.1,0.6,28.4,1,15.672
"RIPOLLÈS",2014,1.2,0.7,42,1,15.766
"RIPOLLÈS",2016,1.1,1.5,39.7,0.48990080076491,16.045
"RIPOLLÈS",2018,0.9,2,55.1,0.532433264435551,17.216
"RIPOLLÈS",2020,0.9,2.2,28.2,1,17.684
"SEGARRA",2013,0.8,0.4,55.9,1,13.674
"SEGARRA",2014,0.7,0.3,33.4,0.53252999586264,13.393
"SEGARRA",2016,0.7,1.6,55.9,1,14.097
"SEGARRA",2018,0.6,2.7,42.4,1,14.075
"SEGARRA",2020,0.6,2.3,60.9,1,14.936
"SEGRIÀ (SENSE LLEIDA)",2013,0.2,0.1,23.5,1,12.97166731
"SEGRIÀ (SENSE LLEIDA)",2014,0.3,0.1,44.2,0.882965667474611,13.27010465
"SEGRIÀ (SENSE LLEIDA)",2016,0.5,0.9,60.5,1,13.54061767
"SEGRIÀ (SENSE LLEIDA)",2018,0.6,1.6,43.1,1,13.58479896
